date,cn_interest_rate
2016/1/1,3.19
2016/2/1,2.95
2016/3/1,2.77
2016/4/1,2.95
2016/5/1,2.89
2016/6/1,2.87
2016/7/1,2.87
2016/8/1,2.77
2016/9/1,2.81
2016/10/1,2.91
2016/11/1,3.35
2016/12/1,4.77
2017/1/1,4.57
2017/2/1,5.51
2017/3/1,4.86
2017/4/1,4.4
2017/5/1,4.86
2017/6/1,5.13
2017/7/1,4.35
2017/8/1,4.48
2017/9/1,4.59
2017/10/1,4.7
2017/11/1,4.76
2017/12/1,5.55
2018/1/1,4.85
2018/2/1,4.49
2018/3/1,4.8
2018/4/1,4.37
2018/5/1,4.54
2018/6/1,4.63
2018/7/1,3.93
2018/8/1,3.23
2018/9/1,3.12
2018/10/1,3.22
2018/11/1,3.37
2018/12/1,3.87
2019/1/1,3.24
2019/2/1,2.91
2019/3/1,3.08
2019/4/1,3
2019/5/1,3.15
2019/6/1,3.6
2019/7/1,3.16
2019/8/1,3.11
2019/9/1,3.3
2019/10/1,3.46
2019/11/1,3.33
2019/12/1,3.49
2020/1/1,3.67
2020/2/1,2.98
2020/3/1,2.55
2020/4/1,2.32
2020/5/1,2.13
2020/6/1,2.54
2020/7/1,2.76
2020/8/1,2.97
2020/9/1,2.99
2020/10/1,3.18
2020/11/1,3.56
2020/12/1,3.33
2021/1/1,3.01
2021/2/1,3.25
2021/3/1,3.07
2021/4/1,2.82
2021/5/1,2.84
2021/6/1,2.93
2021/7/1,2.82
2021/8/1,2.86
2021/9/1,2.77
2021/10/1,2.72
2021/11/1,2.94
2021/12/1,3.08
2022/1/1,3.32
2022/2/1,3.2
2022/3/1,3.17
2022/4/1,2.99
2022/5/1,2.81
2022/6/1,2.76
2022/7/1,2.79
2022/8/1,2.5
2022/9/1,2.36
2022/10/1,2.43
2022/11/1,2.68
2022/12/1,2.79
2023/1/1,2.9
2023/2/1,2.94
2023/3/1,3.05
2023/4/1,2.89
2023/5/1,2.98
2023/6/1,2.81
2023/7/1,2.57
2023/8/1,2.63
2023/9/1,2.64
2023/10/1,2.73
2023/11/1,2.88
2023/12/1,3.02
2024/1/1,2.79
2024/2/1,2.69
2024/3/1,2.53
2024/4/1,2.49
2024/5/1,2.32
2024/6/1,2.23
2024/7/1,2.21
2024/8/1,2.04
2024/9/1,2.06
2024/10/1,2.1
2024/11/1,2.04
2024/12/1,2
2025/1/1,1.94
2025/2/1,1.99
2025/3/1,2.14
2025/4/1,2.02
2025/5/1,1.83
2025/6/1,1.79
2025/7/1,1.78
2025/8/1,1.66
2025/9/1,1.68
2025/10/1,1.69
2025/11/1,1.66
2025/12/1,1.69
2026/1/1,1.75
2026/2/1,1.71
