date,Price,Open,High,Low,Change %
2026/3/31,0.1096,0.1097,0.11,0.1093,-0.09%
2026/3/30,0.1097,0.109,0.1098,0.1089,0.55%
2026/3/27,0.1091,0.1085,0.1091,0.1084,0.55%
2026/3/26,0.1085,0.1084,0.1087,0.1082,0.09%
2026/3/25,0.1084,0.1082,0.1085,0.108,0.18%
2026/3/24,0.1082,0.1082,0.1087,0.108,0.00%
2026/3/23,0.1082,0.1091,0.1092,0.1077,-0.55%
2026/3/20,0.1088,0.1079,0.1092,0.1078,0.83%
2026/3/19,0.1079,0.1098,0.1098,0.1076,-1.64%
2026/3/18,0.1097,0.1087,0.1098,0.1086,0.92%
2026/3/17,0.1087,0.1089,0.1094,0.1086,-0.18%
2026/3/16,0.1089,0.1096,0.1097,0.1087,-0.64%
2026/3/13,0.1096,0.1091,0.1097,0.1087,0.46%
2026/3/12,0.1091,0.1086,0.1092,0.1085,0.46%
2026/3/11,0.1086,0.1084,0.1088,0.1082,0.18%
2026/3/10,0.1084,0.1078,0.1084,0.1076,0.65%
2026/3/9,0.1077,0.1086,0.1092,0.1076,-0.37%
2026/3/6,0.1081,0.1087,0.1088,0.1081,-0.46%
2026/3/5,0.1086,0.1084,0.1091,0.1083,0.18%
2026/3/4,0.1084,0.1085,0.1089,0.108,-0.09%
2026/3/3,0.1085,0.1084,0.1094,0.1082,0.09%
2026/3/2,0.1084,0.1081,0.1091,0.1081,0.28%
2026/2/27,0.1081,0.1084,0.1085,0.108,-0.28%
2026/2/26,0.1084,0.1074,0.1087,0.1072,0.93%
2026/2/25,0.1074,0.1077,0.1079,0.1073,-0.28%
2026/2/24,0.1077,0.1073,0.1078,0.1072,0.37%
2026/2/23,0.1073,0.1072,0.1074,0.1069,-0.09%
2026/2/20,0.1074,0.1075,0.1077,0.1071,-0.09%
2026/2/19,0.1075,0.1072,0.1078,0.1071,0.19%
2026/2/18,0.1073,0.1068,0.1073,0.1066,0.56%
2026/2/17,0.1067,0.1062,0.1073,0.1061,0.47%
2026/2/16,0.1062,0.106,0.1063,0.1059,0.19%
2026/2/13,0.106,0.1064,0.1065,0.106,-0.38%
2026/2/12,0.1064,0.1061,0.1065,0.106,0.28%
2026/2/11,0.1061,0.1061,0.1063,0.1055,0.00%
2026/2/10,0.1061,0.1055,0.1061,0.1054,0.57%
2026/2/9,0.1055,0.1059,0.1063,0.1054,-0.38%
2026/2/6,0.1059,0.1065,0.1067,0.1058,-0.56%
2026/2/5,0.1065,0.1055,0.1066,0.1054,0.95%
2026/2/4,0.1055,0.1052,0.1056,0.1049,0.29%
2026/2/3,0.1052,0.1053,0.1056,0.1051,-0.09%
2026/2/2,0.1053,0.105,0.1057,0.1049,0.19%
2026/1/30,0.1051,0.1043,0.1052,0.1042,0.86%
2026/1/29,0.1042,0.1043,0.1047,0.104,-0.10%
2026/1/28,0.1043,0.1039,0.1047,0.1038,0.48%
2026/1/27,0.1038,0.1051,0.1052,0.1037,-1.24%
2026/1/26,0.1051,0.1053,0.1054,0.1049,-0.19%
2026/1/23,0.1053,0.1063,0.1065,0.1052,-0.85%
2026/1/22,0.1062,0.1069,0.1071,0.1062,-0.65%
2026/1/21,0.1069,0.1069,0.1072,0.1067,0.00%
2026/1/20,0.1069,0.107,0.1071,0.1065,0.00%
2026/1/19,0.1069,0.1073,0.1077,0.1069,-0.28%
2026/1/16,0.1072,0.1073,0.1074,0.107,-0.09%
2026/1/15,0.1073,0.1067,0.1074,0.1066,0.56%
2026/1/14,0.1067,0.1068,0.1068,0.1065,-0.09%
2026/1/13,0.1068,0.1065,0.1068,0.1062,0.28%
2026/1/12,0.1065,0.1069,0.107,0.1063,-0.37%
2026/1/9,0.1069,0.1066,0.107,0.1065,0.38%
2026/1/8,0.1065,0.1062,0.1068,0.1061,0.28%
2026/1/7,0.1062,0.1061,0.1062,0.1057,0.09%
2026/1/6,0.1061,0.1057,0.1061,0.1056,0.38%
2026/1/5,0.1057,0.1062,0.1068,0.1056,-0.47%
2026/1/2,0.1062,0.1062,0.1064,0.1059,0.09%
2026/1/1,0.1061,0.1061,0.1061,0.1061,0.00%
2025/12/31,0.1061,0.1061,0.1067,0.106,0.00%
2025/12/30,0.1061,0.1056,0.1063,0.1056,0.38%
2025/12/29,0.1057,0.1058,0.106,0.1055,0.00%
2025/12/26,0.1057,0.1056,0.1059,0.1055,0.19%
2025/12/25,0.1055,0.1056,0.1057,0.1054,-0.09%
2025/12/24,0.1056,0.1053,0.1057,0.1051,0.28%
2025/12/23,0.1053,0.1056,0.1056,0.1052,-0.28%
2025/12/22,0.1056,0.1061,0.1062,0.1054,-0.56%
2025/12/19,0.1062,0.1061,0.1063,0.106,0.09%
2025/12/18,0.1061,0.1061,0.1065,0.1056,0.00%
2025/12/17,0.1061,0.1058,0.1066,0.1057,0.28%
2025/12/16,0.1058,0.1061,0.1063,0.1055,-0.28%
2025/12/15,0.1061,0.1059,0.1062,0.1059,0.09%
2025/12/12,0.106,0.1058,0.1062,0.1057,0.19%
2025/12/11,0.1058,0.1058,0.1061,0.1054,0.00%
2025/12/10,0.1058,0.1064,0.1065,0.1057,-0.66%
2025/12/9,0.1065,0.1061,0.1065,0.106,0.28%
2025/12/8,0.1062,0.1062,0.1063,0.106,0.09%
2025/12/5,0.1061,0.1061,0.1062,0.1058,0.00%
2025/12/4,0.1061,0.106,0.1062,0.1056,0.09%
2025/12/3,0.106,0.107,0.1071,0.106,-0.93%
2025/12/2,0.107,0.107,0.1073,0.1069,0.00%
2025/12/1,0.107,0.1068,0.1071,0.1065,0.19%
2025/11/28,0.1068,0.1067,0.1071,0.1066,0.09%
2025/11/27,0.1067,0.1067,0.1069,0.1064,0.00%
2025/11/26,0.1067,0.1072,0.1076,0.1067,-0.47%
2025/11/25,0.1072,0.1074,0.1077,0.1068,-0.19%
2025/11/24,0.1074,0.1074,0.1076,0.1073,0.00%
2025/11/21,0.1074,0.1075,0.1079,0.1073,-0.09%
2025/11/20,0.1075,0.1077,0.1078,0.1071,-0.19%
2025/11/19,0.1077,0.107,0.1078,0.1069,0.65%
2025/11/18,0.107,0.1069,0.1071,0.1067,0.09%
2025/11/17,0.1069,0.1072,0.1072,0.1066,0.00%
2025/11/14,0.1069,0.1068,0.1074,0.1067,0.09%
2025/11/13,0.1068,0.1071,0.1075,0.1066,-0.28%
2025/11/12,0.1071,0.1068,0.1074,0.1068,0.28%
2025/11/11,0.1068,0.1066,0.1071,0.1066,0.19%
2025/11/10,0.1066,0.1067,0.1069,0.1065,-0.09%
2025/11/7,0.1067,0.1069,0.1072,0.1066,-0.19%
2025/11/6,0.1069,0.1075,0.1076,0.1069,-0.56%
2025/11/5,0.1075,0.1077,0.1078,0.1075,-0.19%
2025/11/4,0.1077,0.1068,0.1078,0.1068,0.75%
2025/11/3,0.1069,0.1069,0.1071,0.1067,0.09%
2025/10/31,0.1068,0.1069,0.1073,0.1068,-0.09%
2025/10/30,0.1069,0.1068,0.1072,0.1065,0.09%
2025/10/29,0.1068,0.1061,0.1072,0.106,0.66%
2025/10/28,0.1061,0.1054,0.1063,0.1053,0.66%
2025/10/27,0.1054,0.1055,0.1057,0.1053,-0.09%
2025/10/24,0.1055,0.1053,0.1057,0.1051,0.19%
2025/10/23,0.1053,0.1051,0.1055,0.105,0.19%
2025/10/22,0.1051,0.105,0.1055,0.1049,0.10%
2025/10/21,0.105,0.1048,0.1051,0.1047,0.19%
2025/10/20,0.1048,0.1045,0.1048,0.1044,0.29%
2025/10/17,0.1045,0.1045,0.1048,0.1042,0.00%
2025/10/16,0.1045,0.1047,0.1048,0.1043,-0.19%
2025/10/15,0.1047,0.1051,0.1052,0.1046,-0.48%
2025/10/14,0.1052,0.1052,0.1057,0.1049,0.00%
2025/10/13,0.1052,0.1049,0.1053,0.1048,0.29%
2025/10/10,0.1049,0.1054,0.1059,0.1049,-0.47%
2025/10/9,0.1054,0.1048,0.1056,0.1045,0.57%
