date,cn_interest_rate,uk_interest_rate,cn_exports,cn_imports,cn_trade_balance,uk_exports,uk_imports,cn_cpi,uk_cpi,cn_inflation,uk_inflation,cn_gdp,uk_gdp,dxy,gold_volatility,oil_volatility,cn_share_price,uk_share_price
2016/1/1,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.1595,16.07,49.79,81.43359,90.03909
2016/1/2,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.1595,16.07,49.79,81.43359,90.03909
2016/1/3,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.1595,16.07,49.79,81.43359,90.03909
2016/1/4,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.1595,16.07,49.79,81.43359,90.03909
2016/1/5,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2649,15.2,49.68,81.43359,90.03909
2016/1/6,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.6177,16.3,52.36,81.43359,90.03909
2016/1/7,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.6516,17.42,56.15,81.43359,90.03909
2016/1/8,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.0095,17.62,56.1,81.43359,90.03909
2016/1/9,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.0095,17.62,56.1,81.43359,90.03909
2016/1/10,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.0095,17.62,56.1,81.43359,90.03909
2016/1/11,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.0139,16.43,62.98,81.43359,90.03909
2016/1/12,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.3128,16.61,65.27,81.43359,90.03909
2016/1/13,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.1425,16.99,60.67,81.43359,90.03909
2016/1/14,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.3846,16.16,57.56,81.43359,90.03909
2016/1/15,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.7404,17.42,62.09,81.43359,90.03909
2016/1/16,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.7404,17.42,62.09,81.43359,90.03909
2016/1/17,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.7404,17.42,62.09,81.43359,90.03909
2016/1/18,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.7404,17.42,62.09,81.43359,90.03909
2016/1/19,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.8155,16.17,64.04,81.43359,90.03909
2016/1/20,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,116.3498,16.56,67.93,81.43359,90.03909
2016/1/21,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.9833,16.77,65.79,81.43359,90.03909
2016/1/22,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.9833,15.91,61.86,81.43359,90.03909
2016/1/23,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.9833,15.91,61.86,81.43359,90.03909
2016/1/24,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.9833,15.91,61.86,81.43359,90.03909
2016/1/25,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.9833,17.13,65.74,81.43359,90.03909
2016/1/26,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.9833,17.26,65.89,81.43359,90.03909
2016/1/27,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.5087,16.71,65.62,81.43359,90.03909
2016/1/28,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.2224,15.41,65.99,81.43359,90.03909
2016/1/29,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.5731,15.73,61.86,81.43359,90.03909
2016/1/30,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.5731,15.73,61.86,81.43359,90.03909
2016/1/31,2.9,0.5,1.69082E+11,1.21841E+11,47241690000,22568450000,32185910000,101.1,99.9,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.5731,15.73,61.86,81.43359,90.03909
2016/2/1,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.3331,16.81,66.63,75.5868,89.18767
2016/2/2,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,115.553,16.2,68.59,75.5868,89.18767
2016/2/3,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.6144,17.84,67.71,75.5868,89.18767
2016/2/4,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.6012,17.39,66.78,75.5868,89.18767
2016/2/5,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2935,19.58,66.67,75.5868,89.18767
2016/2/6,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2935,19.58,66.67,75.5868,89.18767
2016/2/7,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2935,19.58,66.67,75.5868,89.18767
2016/2/8,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.4351,20.38,68.38,75.5868,89.18767
2016/2/9,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.127,21.72,72.29,75.5868,89.18767
2016/2/10,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2877,21.36,72.5,75.5868,89.18767
2016/2/11,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.1845,28.37,77.79,75.5868,89.18767
2016/2/12,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2992,24.1,78.97,75.5868,89.18767
2016/2/13,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2992,24.1,78.97,75.5868,89.18767
2016/2/14,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2992,24.1,78.97,75.5868,89.18767
2016/2/15,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2992,24.1,78.97,75.5868,89.18767
2016/2/16,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.4905,24.84,71.53,75.5868,89.18767
2016/2/17,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.8634,24.53,69.47,75.5868,89.18767
2016/2/18,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.8897,26.37,67.49,75.5868,89.18767
2016/2/19,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.9558,24.88,62.46,75.5868,89.18767
2016/2/20,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.9558,24.88,62.46,75.5868,89.18767
2016/2/21,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.9558,24.88,62.46,75.5868,89.18767
2016/2/22,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.8232,23.31,62.84,75.5868,89.18767
2016/2/23,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.177,23.69,65.03,75.5868,89.18767
2016/2/24,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.1716,24.24,66.09,75.5868,89.18767
2016/2/25,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.9222,23.36,63.74,75.5868,89.18767
2016/2/26,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.3708,21.67,59.96,75.5868,89.18767
2016/2/27,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.3708,21.67,59.96,75.5868,89.18767
2016/2/28,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.3708,21.67,59.96,75.5868,89.18767
2016/2/29,2.9,0.5,1.77834E+11,1.1383E+11,64003890000,22921010000,33501089999.999996,102.7,100.1,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,114.2418,22.59,60.01,75.5868,89.18767
2016/3/1,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.9265,21.97,56.84,78.69484,93.30228
2016/3/2,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.7965,22,53.37,78.69484,93.30228
2016/3/3,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,113.2482,23.51,52.57,78.69484,93.30228
2016/3/4,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.6387,22.31,51.89,78.69484,93.30228
2016/3/5,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.6387,22.31,51.89,78.69484,93.30228
2016/3/6,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.6387,22.31,51.89,78.69484,93.30228
2016/3/7,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.6219,22.08,52.8,78.69484,93.30228
2016/3/8,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.8465,23.07,54.04,78.69484,93.30228
2016/3/9,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.4268,22.31,51.74,78.69484,93.30228
2016/3/10,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.4191,23.14,51.98,78.69484,93.30228
2016/3/11,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,111.741,21.9,50.25,78.69484,93.30228
2016/3/12,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,111.741,21.9,50.25,78.69484,93.30228
2016/3/13,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,111.741,21.9,50.25,78.69484,93.30228
2016/3/14,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.1688,21.14,50.17,78.69484,93.30228
2016/3/15,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.5545,19.7,48.98,78.69484,93.30228
2016/3/16,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,112.7759,20.03,43.98,78.69484,93.30228
2016/3/17,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,110.445,18.99,46.22,78.69484,93.30228
2016/3/18,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,110.4002,18.15,44.98,78.69484,93.30228
2016/3/19,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,110.4002,18.15,44.98,78.69484,93.30228
2016/3/20,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,110.4002,18.15,44.98,78.69484,93.30228
2016/3/21,2.9,0.5,1.72129E+11,1.26096E+11,46033330000,23227830000,33394509999.999996,102.2,100.4,2.00000182191943,1.0084173681141,11456024084962.0,2706807606538.73,110.737,17.4,45.09,78.69484,93.30228
