date,uk_interest_rate
2016/1/1,1.7833
2016/2/1,1.5032
2016/3/1,1.5434
2016/4/1,1.5688
2016/5/1,1.5366
2016/6/1,1.3105
2016/7/1,0.9569
2016/8/1,0.7421
2016/9/1,0.8243
2016/10/1,1.078
2016/11/1,1.3818
2016/12/1,1.4336
2017/1/1,1.4203
2017/2/1,1.3058
2017/3/1,1.194
2017/4/1,1.0789
2017/5/1,1.1175
2017/6/1,1.0846
2017/7/1,1.2713
2017/8/1,1.1241
2017/9/1,1.2436
2017/10/1,1.3816
2017/11/1,1.3299
2017/12/1,1.2781
2018/1/1,1.3931
2018/2/1,1.6034
2018/3/1,1.508
2018/4/1,1.5108
2018/5/1,1.5016
2018/6/1,1.4229
2018/7/1,1.3739
2018/8/1,1.3991
2018/9/1,1.5023
2018/10/1,1.5462
2018/11/1,1.4541
2018/12/1,1.3125
2019/1/1,1.3221
2019/2/1,1.239
2019/3/1,1.19
2019/4/1,1.1906
2019/5/1,1.13
2019/6/1,0.919
2019/7/1,0.8304
2019/8/1,0.5776
2019/9/1,0.5981
2019/10/1,0.6373
2019/11/1,0.765
2019/12/1,0.8308
2020/1/1,0.7235
2020/2/1,0.633
2020/3/1,0.4609
2020/4/1,0.3577
2020/5/1,0.2743
2020/6/1,0.278
2020/7/1,0.2094
2020/8/1,0.2717
2020/9/1,0.273
2020/10/1,0.3058
2020/11/1,0.3836
2020/12/1,0.3224
2021/1/1,0.3672
2021/2/1,0.6222
2021/3/1,0.8456
2021/4/1,0.8515
2021/5/1,0.9058
2021/6/1,0.8549
2021/7/1,0.6979
2021/8/1,0.644
2021/9/1,0.8023
2021/10/1,1.083
2021/11/1,0.9394
2021/12/1,0.8375
2022/1/1,1.2051
2022/2/1,1.4891
2022/3/1,1.5457
2022/4/1,1.8362
2022/5/1,1.9069
2022/6/1,2.3824
2022/7/1,2.1454
2022/8/1,2.3278
2022/9/1,3.5007
2022/10/1,4.1096
2022/11/1,3.4171
2022/12/1,3.5015
2023/1/1,3.5115
2023/2/1,3.5553
2023/3/1,3.5638
2023/4/1,3.6503
2023/5/1,3.9621
2023/6/1,4.3659
2023/7/1,4.4372
2023/8/1,4.5298
2023/9/1,4.4199
2023/10/1,4.5695
2023/11/1,4.2721
2023/12/1,3.8622
2024/1/1,3.9319
2024/2/1,4.123
2024/3/1,4.033
2024/4/1,4.2172
2024/5/1,4.2229
2024/6/1,4.1644
2024/7/1,4.1386
2024/8/1,3.9444
2024/9/1,3.9053
2024/10/1,4.1993
2024/11/1,4.4164
2024/12/1,4.4345
2025/1/1,4.6627
2025/2/1,4.5063
2025/3/1,4.6448
2025/4/1,4.5762
2025/5/1,4.6004
2025/6/1,4.5248
2025/7/1,4.5924
2025/8/1,4.6369
2025/9/1,4.6885
2025/10/1,4.5721
2025/11/1,4.4985
2025/12/1,4.4826
2026/1/1,4.451
2026/2/1,4.4324
2026/3/1,4.7007
